Arıza/Bakım;Bildirim Tarihi;Ekipman Adı;Arıza/Bakım Grubu;Arıza/Bakım Türü;Arıza/Bakım Detayı;Parça Adedi;"Müdahale Başl. 
Tarihi";"Müdahale Bitiş 
Tarihi";Müdahale Başl. Saati;Müdahale Bitiş Saati;Müdahale Süresi (Dk.);Açıklama
Arıza;27.01.2022;Kondisyonel-3;Mekanik;Ön Mil Yatak Arızası;Ön Mil Yatak Bilya Değişimi;;27.01.2022;27.01.2022;11:30;16:25;295;Kondüksiyonel-3 motor tarafondaki ön mil yatak bilyası değiştirildi
Bakım;29.01.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;29.01.2022;29.01.2022;11:00;11:15;15;Elekler 4*4 oldu. 
Bakım;29.01.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;29.01.2022;29.01.2022;11:15;11:30;15;Elekler 4*4 oldu. 
Bakım;29.01.2022;Paketleme-4;Mekanik;Zincir Bakımı;Zincir Padıl Değişimi;;29.01.2022;29.01.2022;12:50;14:20;90;Paketleme-4 zicirlisinin padıllarının yarısı değiştirildi
Arıza;31.01.2022;Pres-4;Mekanik;Rulo Arızası;Rulo Değişimi;;31.01.2022;31.01.2022;08:15;11:50;215;Pres-4 rulo rulmanları dağılmıştı rulolar değiştirildi
Arıza;31.01.2022;Pres-3;Mekanik;Melas Pompa Arızası;Melas Pompa Değişimi;1;31.01.2022;31.01.2022;14:30;15:00;30;3 nolu günlük pres pompası değişti
Arıza;1.02.2022;Pres-1;Mekanik;Rulo Arızası;Rulo Değişimi;2;1.02.2022;1.02.2022;08:30;09:25;55;Pres-1 rulo değişimi yapıldı sıfır rulo takıldı.
Arıza;1.02.2022;Pres-1;Mekanik;Disk Arızası;Disk Değişimi;1;1.02.2022;1.02.2022;09:25;12:30;185;Pres-1 disk değişimi yapıldı sıfır disk yapıldı
Arıza;1.02.2022;Değirmen-1;Mekanik;Elek Arızası;Elek Değişimi;1;1.02.2022;1.02.2022;09:30;09:45;15;1 tane patlak elek vardı değiştirildi
Arıza;1.02.2022;Değirmen-2;Mekanik;Elek Arızası;Elek Değişimi;1;1.02.2022;1.02.2022;09:45;10:00;15;1 tane patlak elek vardı değiştirildi
Bakım;2.02.2022;Paketleme-3;Mekanik;Zincir Bakımı;Zincir Padıl Değişimi;;2.02.2022;2.02.2022;13:00;13:45;45;Paketleme-3 zicirlisinin padıllarının yarısı değiştirildi
Arıza;2.02.2022;Expander-1;Mekanik;Kırıcı Arıza;Kaplin Değişimi;;2.02.2022;2.02.2022;10:20;11:40;80;Expander-1 kırıcının kaplini kırılmıştı yenisi ile değiştirildi
Arıza;2.02.2022;Pres-3;Mekanik;Melas Pompa Arızası;Melas Motor Değişimi;1;2.02.2022;2.02.2022;19:45;22:40;175;Pres-3 melas gelmiyordu motor poampası yanmış elektrikçi ile değişimi yapıldı
Bakım;2.02.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;2.02.2022;2.02.2022;23:00;23:30;30;Elekler 4*3 oldu. 
Bakım;2.02.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;2.02.2022;2.02.2022;23:30;00:00;30;Elekler 4*3 oldu. 
Bakım;3.02.2022;Pres-4;Mekanik;Disk Bakımı;Disk Civata Değişimi;;3.02.2022;3.02.2022;10:30;12:00;90;Disk civataları kontrol edildi 2 tanesi değiştirildi
Bakım;3.02.2022;Paketleme-3;Mekanik;Zincir Bakımı;Zincir Padıl Değişimi;;3.02.2022;3.02.2022;13:30;14:30;60;Paketleme-3 zicirlisinin padıllarının yarısı değiştirildi
Bakım;3.02.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;3.02.2022;3.02.2022;14:30;14:45;15;Elekler 4*4 oldu. 
Bakım;3.02.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;3.02.2022;3.02.2022;14:45;15:00;15;Elekler 4*4 oldu. 
Arıza;3.02.2022;Pres-4;Mekanik;Sigorta Arızası;Sigorta Değişimi;;3.02.2022;3.02.2022;18:00;18:30;30;Pres-4 sigorta kemişti değişim yapıldı
Arıza;3.02.2022;Pres-4;Mekanik;Sigorta Arızası;Sigorta Değişimi;;3.02.2022;3.02.2022;18:30;19:00;30;Pres-4 sigorta kemişti değişim yapıldı
Arıza;4.02.2022;Expander-4;Mekanik;Koni Arızası;Koni Hortumu Değişimi;;4.02.2022;4.02.2022;14:00;14:30;30;Expander-4 koni hortumu patlamıştı yenisi ile değiştirildi
Arıza;7.02.2022;Pres-4;Mekanik;Ön Ayna Arızası;Ön Ayna Cıvata Değişimi;;7.02.2022;7.02.2022;09:40;10:30;50;Pres-4 ön ayna cıvata kesmişti kaynak ile diskten çıkartılıp yenileri takıldı
Arıza;7.02.2022;Pres-4;Mekanik;Sigorta Arızası;Sigorta Değişimi;;7.02.2022;7.02.2022;10:30;10:50;20;Pres-4 sigorta kemişti değişim yapıldı
Arıza;8.02.2022;Değirmen-2;Mekanik;Elek Arızası;Elek Değişimi;2;8.02.2022;8.02.2022;08:10;08:30;20;2 tane patlak elek vardı değiştirildi
Arıza;8.02.2022;Paketleme-4;Mekanik;Motor Arızası;Motor Dişli Değişimi;1;8.02.2022;8.02.2022;13:00;13:45;45;Paketleme-4 zincirlinin motor dişlisi değiştirildi
Arıza;8.02.2022;Değirmen-1;Mekanik;Elek Arızası;Elek Değişimi;1;8.02.2022;8.02.2022;09:15;09:35;20;1 tane patlak elek vardı değiştirildi
Bakım;9.02.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;9.02.2022;9.02.2022;02:30;03:10;40;Elekler ve çekiçler kontrol edildi
Arıza;10.02.2022;Expander-1;Mekanik;Yağ Soğutucu Filtre Arızası;Yağ Soğutucu Filtre Geğişimi;;10.02.2022;10.02.2022;12:00;12:10;10;Expander-1 yağ soğutucu filtresi değiştirildi
Arıza;10.02.2022;Değirmen-2;Mekanik;Elek Arızası;Elek Arızası;2;10.02.2022;10.02.2022;08:30;08:50;20;2 tane patlak elek vardı değiştirildi
Arıza;10.02.2022;Değirmen-2;Mekanik;Üst Besleme Arızası;Üst Besleme Arızası;;10.02.2022;10.02.2022;10:30;11:00;30;Değirmen-2 üst beslemesi sıkışmıştı içi açılıp kaldırıldı
Bakım;10.02.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;10.02.2022;10.02.2022;16:15;16:25;10;Elekler 4*3 oldu. Vuran taraf 3
Bakım;10.02.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;10.02.2022;10.02.2022;16:25;16:40;15;Elekler 4*3 oldu. Vuran taraf 3
Arıza;10.02.2022;Değirmen-2;Mekanik;Mıknatıs Kapağı Arızası;Mıknatıs Kapağı Arızası;;10.02.2022;10.02.2022;17:20;18:20;60;Değirmen-2 mıknatıs kapağı mal kaçırıyordu yeni delikler açılıp sorun giderildi
Arıza;10.02.2022;Expander-1;Mekanik;Yağ Soğutucu Filtre Arızası;Yağ Soğutucu Filtre Geğişimi;;10.02.2022;10.02.2022;18:10;18:40;30;Expander-1 yağ soğutucu filtresi değiştirildi
Arıza;11.02.2022;Değirmen-1;Mekanik;Rulman Arızası;Rulman Değişimi;;11.02.2022;11.02.2022;00:30;01:45;75;Değirmen-1 rulman dağılmıştı soğutulup söküldü sabah değişimi yapılacaktır
Arıza;11.02.2022;Değirmen-1;Mekanik;Rulman Arızası;Rulman Değişimi;;11.02.2022;11.02.2022;08:10;10:10;120;Değirmen-1 rulman değişimi yapılmıştır
Arıza;11.02.2022;Pres-4;Mekanik;Rulo Arızası;Rulo Değişimi;2;11.02.2022;11.02.2022;10:30;12:30;120;Pres-4 rulo değişimi yapıldı. Ruloların milleri kaynatıldı
Bakım;11.02.2022;Expander-1;Mekanik;Redüktör Yağ Bakımı;Redüktör Yağ Bakımı;;11.02.2022;11.02.2022;10:45;12:00;75;Expander-1 redüktör içi temizlendi ve yağ değişimi yapıldı
Arıza;11.02.2022;Değirmen-1;Mekanik;Rakon Arızası;Rakon Değişimi;;11.02.2022;11.02.2022;14:00;15:00;60;Değirmen-1 rakonu tornada ayarlandı yerine takıldı
Arıza;11.02.2022;Expander-1;Mekanik;Yağ Soğutucu Filtre Arızası;Yağ Soğutucu Filtre Arızası;;11.02.2022;11.02.2022;15:40;16:20;40;Expander-1 yağ soğutucu filtresi arıza gösteriyordu sökülüp kontrolleri sağlandı
Arıza;11.02.2022;Paketleme-4;Mekanik;Etiket Makine Arızası;Rulo Mili Arızası;;11.02.2022;11.02.2022;18:40;19:15;35;Paketleme-4 rulo mili yerinden çıkmıştı yerine takıldı
Arıza;12.02.2022;Pres-3;Mekanik;Rulo Arızası;Rulo Değişimi;2;12.02.2022;12.02.2022;08:10;11:00;155;Pres-3 rulo değişimi yapıldı çıkma rulo takıldı
Bakım;12.02.2022;Pres-2;Mekanik;Rulo Bakımı;Rulo Toplama;2;12.02.2022;12.02.2022;12:00;15:00;120;Torna atalyösinde 2 adet rulo toplanıp hazırlandı
Bakım;12.02.2022;Pres-3;Mekanik;Rulo Bakımı;Rulo Toplama;2;12.02.2022;12.02.2022;15:00;17:30;135;Torna atalyösinde 2 adet rulo toplanıp hazırlandı
Arıza;14.02.2022;Pres-1;Mekanik;Pompa Arızası;Pompa Değişimi;1;14.02.2022;14.02.2022;15:50;16:20;30;1 nolu günlük pres pompası değişti
Arıza;14.02.2022;Pres-2;Mekanik;Rulo Arızası;Rulo Değişimi;2;14.02.2022;14.02.2022;08:30;09:30;60;Pres-2 rulo değişimi yapıldı. Çıkma rulo takıldı
Arıza;14.02.2022;Pres-2;Mekanik;Disk Arızası;Disk Değişimi;1;14.02.2022;14.02.2022;09:30;12:45;180;Pres-2 disk değişimi yapıldı. Taşlanmış disk takıldı
Arıza;14.02.2022;Değirmen-1;Mekanik;Besleme Arızası;Besleme Arızası;;14.02.2022;14.02.2022;20:20;20:50;30;Değirmen-1 beslemesi sıkışmıştı açıldı
Arıza;15.02.2022;Değirmen-2 ;Mekanik;Elek Kelepçe Arızası;Elek Kelepçe Değişimi;1;15.02.2022;15.02.2022;09:00;09:20;20;Değirmen-2 elek kelepçesi değiştirildi
Bakım;15.02.2022;Pres-1;Mekanik;Pres Bakımı;Pres Bakımı;;15.02.2022;15.02.2022;08:00;08:30;30;Pres-1 disk rulo bakımı ve ayarı yapıldı
Bakım;15.02.2022;Pres-2;Mekanik;Pres Bakımı;Pres Bakımı;;15.02.2022;15.02.2022;08:30;09:15;45;Pres-2 disk rulo bakımı ve ayarı yapıldı
Bakım;15.02.2022;Pres-3;Mekanik;Pres Bakımı;Pres Bakımı;;15.02.2022;15.02.2022;09:15;10:00;45;Pres-3 disk rulo bakımı ve ayarı yapıldı
Arıza;15.02.2022;Pres-4;Mekanik;Sigorta Arızası;Sigorta Değişimi;2;15.02.2022;15.02.2022;19:20;19:50;30;Pres-4 sigorta kemişti değişim yapıldı
Arıza;15.02.2022;Paketleme-1;Mekanik;Etiket Makine Arızası;Rulo Mili Arızası;;15.02.2022;15.02.2022;23:50;00:20;30;Eski fabrika Paketleme-1 rulo mili yerinden çıkmıştı yerine takıldı
Arıza;16.02.2022;Pres-4;Mekanik;Ön Ayna Arızası;Ön Ayna Cıvata Değişimi;4;16.02.2022;16.02.2022;10:30;11:10;40;Pres-4 ön ayna civataları kesmişti çıkarıldı yenileri takıldı. 
Bakım;16.02.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;16.02.2022;16.02.2022;12:00;12:20;20;Elekler 3*3 oldu. 
Bakım;16.02.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;16.02.2022;16.02.2022;12:20;12:40;20;Elekler 3*3 oldu. 
Arıza;16.02.2022;Kondisyonel-4;Mekanik;Motor Arızası;Motor Kayış Değişimi;4;16.02.2022;16.02.2022;17:40;18:40;60;Kondisyonel-4  kayışları yandı, değiştirildi.
Bakım;17.02.2022;Expander-4;Mekanik;Stop Cıvata Bakımı;Stop Cıvata Bakımı;;17.02.2022;17.02.2022;15:00;16:00;60;Expander-4 stop cıvata kontrolleri yapıldı. 1 tanesi değiştirildi
Bakım;17.02.2022;Değirmen-1;Mekanik;Çekiç Bakımı;Çekiç Ters -Düz Yapılması;;17.02.2022;17.02.2022;09:00;11:00;120;Çekiçler ters-düz yapıldı. Elekler 5*4
Bakım;17.02.2022;Değirmen-2;Mekanik;Çekiç Bakımı;Çekiç Ters -Düz Yapılması;;17.02.2022;17.02.2022;12:00;14:00;120;Çekiçler ters-düz yapıldı. Elekler 5*4
Arıza;17.02.2022;Paketleme-1;Mekanik;Kantar Arızası;Kantar Piston Kırılması;;17.02.2022;17.02.2022;20:30;21:00;30;Eski fabrika kantar pistonu kırılmıştı kaynak ile sorun giderildi
