,bayii,sipariş_miktarı,irsaliye_miktarı,fatura_miktarı,ürün_adı,birim_fiyat,alt_top,kdv,genel_toplam,kayıt_tarihi,onay_tarihi,istenen_teslimT,son_irsaliyeT,sevk_performansı,zamanında,kayıt_eden
2022-01-01 12:00:00,Akdeniz Yem A.Ş.,1770.0,1770,1770,Besi 18 Geliştirme,550,973500,175230.0,1148730.0,2022-01-01 12:00:00,2022-01-01 12:00:00,2022-01-04 12:00:00,2022-01-28 12:00:00,24,0,Sevkiyat-Ekrem
2022-01-01 13:00:00,Akdeniz Yem A.Ş.,318.0,318,318,Atax 16,480,152640,27475.2,180115.2,2022-01-01 13:00:00,2022-01-01 13:00:00,2022-01-07 13:00:00,2022-02-01 13:00:00,25,0,Sevkiyat-Onur
2022-01-01 14:00:00,Ege Yem A.Ş.,1301.0,1301,1301,20 A,395,513895,92501.09999999999,606396.1,2022-01-01 14:00:00,2022-01-01 14:00:00,2022-01-06 14:00:00,2022-01-28 14:00:00,22,0,Sevkiyat-Bekir
2022-01-01 16:00:00,Akdeniz Yem A.Ş.,1199.0,1199,1199,Buzağı Başlangıç,430,515570,92802.59999999999,608372.6,2022-01-01 16:00:00,2022-01-01 16:00:00,2022-01-05 16:00:00,2022-01-13 16:00:00,8,0,Sevkiyat-Onur
2022-01-01 18:00:00,Doğu Anadolu Yem A.Ş.,1213.0,1213,1213,Besi 18 Geliştirme,550,667150,120087.0,787237.0,2022-01-01 18:00:00,2022-01-01 18:00:00,2022-01-05 18:00:00,2022-02-01 18:00:00,27,0,Sevkiyat-Bekir
2022-01-01 19:00:00,İç Anadolu Yem A.Ş.,354.0,354,354,Trend 19,460,162840,29311.2,192151.2,2022-01-01 19:00:00,2022-01-01 19:00:00,2022-01-04 19:00:00,2022-01-28 19:00:00,24,0,Sevkiyat-Onur
2022-01-01 20:00:00,Ege Yem A.Ş.,871.0,871,871,Buzağı Büyütme,380,330980,59576.399999999994,390556.4,2022-01-01 20:00:00,2022-01-01 20:00:00,2022-01-04 20:00:00,2022-01-09 20:00:00,5,0,Sevkiyat-Ekrem
2022-01-02 01:00:00,İç Anadolu Yem A.Ş.,1396.0,1396,1396,GRN Yonca Süt,520,725920,130665.59999999999,856585.6,2022-01-02 01:00:00,2022-01-02 01:00:00,2022-01-07 01:00:00,2022-01-09 01:00:00,2,0,Sevkiyat-Onur
2022-01-02 03:00:00,Güney Anadolu Yem A.Ş.,212.0,212,212,Buzağı Başlangıç,430,91160,16408.8,107568.8,2022-01-02 03:00:00,2022-01-02 03:00:00,2022-01-05 03:00:00,2022-01-21 03:00:00,16,0,Sevkiyat-Onur
2022-01-02 05:00:00,Doğu Anadolu Yem A.Ş.,770.0,770,770,A Besi,515,396550,71379.0,467929.0,2022-01-02 05:00:00,2022-01-02 05:00:00,2022-01-06 05:00:00,2022-01-07 05:00:00,1,0,Sevkiyat-Mehmet
2022-01-02 06:00:00,Akdeniz Yem A.Ş.,916.0,916,916,21 XS,450,412200,74196.0,486396.0,2022-01-02 06:00:00,2022-01-02 06:00:00,2022-01-08 06:00:00,2022-01-22 06:00:00,14,0,Sevkiyat-Mehmet
2022-01-02 07:00:00,Marmara Yem A.Ş.,1974.0,1974,1974,Trend XS,395,779730,140351.4,920081.4,2022-01-02 07:00:00,2022-01-02 07:00:00,2022-01-06 07:00:00,2022-01-30 07:00:00,24,0,Sevkiyat-Ekrem
2022-01-02 08:00:00,Ege Yem A.Ş.,998.0,998,998,Gebe Düve,520,518960,93412.8,612372.8,2022-01-02 08:00:00,2022-01-02 08:00:00,2022-01-08 08:00:00,2022-01-15 08:00:00,7,0,Sevkiyat-Davut
2022-01-02 09:00:00,Karadeniz Yem A.Ş.,373.0,373,373,Gebe Düve,520,193960,34912.799999999996,228872.8,2022-01-02 09:00:00,2022-01-02 09:00:00,2022-01-08 09:00:00,2022-02-03 09:00:00,26,0,Sevkiyat-Ekrem
2022-01-02 11:00:00,Güney Anadolu Yem A.Ş.,1285.0,1285,1285,Trend Besi,545,700325,126058.5,826383.5,2022-01-02 11:00:00,2022-01-02 11:00:00,2022-01-06 11:00:00,2022-01-24 11:00:00,18,0,Sevkiyat-Davut
2022-01-02 12:00:00,Marmara Yem A.Ş.,1228.0,1228,1228,Trend X,410,503480,90626.4,594106.4,2022-01-02 12:00:00,2022-01-02 12:00:00,2022-01-06 12:00:00,2022-01-12 12:00:00,6,0,Sevkiyat-Mehmet
2022-01-02 13:00:00,Karadeniz Yem A.Ş.,1556.0,1556,1556,Buzağı Başlangıç,430,669080,120434.4,789514.4,2022-01-02 13:00:00,2022-01-02 13:00:00,2022-01-06 13:00:00,2022-01-15 13:00:00,9,0,Sevkiyat-Davut
2022-01-02 14:00:00,İç Anadolu Yem A.Ş.,1672.0,1672,1672,Toklu Besi,545,911240,164023.19999999998,1075263.2,2022-01-02 14:00:00,2022-01-02 14:00:00,2022-01-05 14:00:00,2022-01-15 14:00:00,10,0,Sevkiyat-Davut
2022-01-02 15:00:00,Karadeniz Yem A.Ş.,158.0,158,158,Trend Besi,545,86110,15499.8,101609.8,2022-01-02 15:00:00,2022-01-02 15:00:00,2022-01-07 15:00:00,2022-01-22 15:00:00,15,0,Sevkiyat-Bekir
2022-01-02 16:00:00,İç Anadolu Yem A.Ş.,919.0,919,919,Buzağı Büyütme,380,349220,62859.6,412079.6,2022-01-02 16:00:00,2022-01-02 16:00:00,2022-01-06 16:00:00,2022-01-13 16:00:00,7,0,Sevkiyat-Onur
2022-01-02 17:00:00,Akdeniz Yem A.Ş.,902.0,902,902,21 XS,450,405900,73062.0,478962.0,2022-01-02 17:00:00,2022-01-02 17:00:00,2022-01-06 17:00:00,2022-01-22 17:00:00,16,0,Sevkiyat-Mehmet
2022-01-02 18:00:00,Ege Yem A.Ş.,463.0,463,463,Koyun Süt,440,203720,36669.6,240389.6,2022-01-02 18:00:00,2022-01-02 18:00:00,2022-01-06 18:00:00,2022-01-12 18:00:00,6,0,Sevkiyat-Bekir
2022-01-02 19:00:00,İç Anadolu Yem A.Ş.,1812.0,1812,1812,Yonca Besi,560,1014720,182649.6,1197369.6,2022-01-02 19:00:00,2022-01-02 19:00:00,2022-01-07 19:00:00,2022-01-13 19:00:00,6,0,Sevkiyat-Onur
2022-01-02 22:00:00,Güney Anadolu Yem A.Ş.,235.0,235,235,Atax 18,495,116325,20938.5,137263.5,2022-01-02 22:00:00,2022-01-02 22:00:00,2022-01-05 22:00:00,2022-01-29 22:00:00,24,0,Sevkiyat-Bekir
2022-01-02 23:00:00,Doğu Anadolu Yem A.Ş.,409.0,409,409,Trend 21 XS,380,155420,27975.6,183395.6,2022-01-02 23:00:00,2022-01-02 23:00:00,2022-01-06 23:00:00,2022-01-14 23:00:00,8,0,Sevkiyat-Ekrem
2022-01-03 01:00:00,Güney Anadolu Yem A.Ş.,554.0,554,554,21 X,530,293620,52851.6,346471.6,2022-01-03 01:00:00,2022-01-03 01:00:00,2022-01-06 01:00:00,2022-01-07 01:00:00,1,0,Sevkiyat-Davut
2022-01-03 02:00:00,Ege Yem A.Ş.,905.0,905,905,Besi 18 Geliştirme,550,497750,89595.0,587345.0,2022-01-03 02:00:00,2022-01-03 02:00:00,2022-01-09 02:00:00,2022-01-25 02:00:00,16,0,Sevkiyat-Mehmet
2022-01-03 05:00:00,Güney Anadolu Yem A.Ş.,1354.0,1354,1354,Besi 18 Geliştirme,550,744700,134046.0,878746.0,2022-01-03 05:00:00,2022-01-03 05:00:00,2022-01-06 05:00:00,2022-01-07 05:00:00,1,0,Sevkiyat-Ekrem
2022-01-03 06:00:00,Güney Anadolu Yem A.Ş.,1024.0,1024,1024,Besi 18 Geliştirme,550,563200,101376.0,664576.0,2022-01-03 06:00:00,2022-01-03 06:00:00,2022-01-08 06:00:00,2022-01-12 06:00:00,4,0,Sevkiyat-Onur
2022-01-03 07:00:00,Ege Yem A.Ş.,344.0,344,344,Koyun Süt,440,151360,27244.8,178604.8,2022-01-03 07:00:00,2022-01-03 07:00:00,2022-01-07 07:00:00,2022-01-31 07:00:00,24,0,Sevkiyat-Bekir
2022-01-03 08:00:00,Marmara Yem A.Ş.,385.0,385,385,Atax 18,495,190575,34303.5,224878.5,2022-01-03 08:00:00,2022-01-03 08:00:00,2022-01-07 08:00:00,2022-01-30 08:00:00,23,0,Sevkiyat-Onur
2022-01-03 09:00:00,Karadeniz Yem A.Ş.,1952.0,1952,1952,Trend X,410,800320,144057.6,944377.6,2022-01-03 09:00:00,2022-01-03 09:00:00,2022-01-07 09:00:00,2022-01-07 09:00:00,0,1,Sevkiyat-Mehmet
2022-01-03 11:00:00,Marmara Yem A.Ş.,1983.0,1983,1983,Besi Bitirme,430,852690,153484.19999999998,1006174.2,2022-01-03 11:00:00,2022-01-03 11:00:00,2022-01-06 11:00:00,2022-01-10 11:00:00,4,0,Sevkiyat-Mehmet
2022-01-03 12:00:00,Karadeniz Yem A.Ş.,72.0,72,72,Buzağı Büyütme,380,27360,4924.8,32284.8,2022-01-03 12:00:00,2022-01-03 12:00:00,2022-01-09 12:00:00,2022-01-15 12:00:00,6,0,Sevkiyat-Ekrem
2022-01-03 13:00:00,Akdeniz Yem A.Ş.,643.0,643,643,Gebe Düve,520,334360,60184.799999999996,394544.8,2022-01-03 13:00:00,2022-01-03 13:00:00,2022-01-06 13:00:00,2022-01-09 13:00:00,3,0,Sevkiyat-Ekrem
2022-01-03 14:00:00,Ege Yem A.Ş.,91.0,91,91,20 X,420,38220,6879.599999999999,45099.6,2022-01-03 14:00:00,2022-01-03 14:00:00,2022-01-06 14:00:00,2022-01-07 14:00:00,1,0,Sevkiyat-Davut
2022-01-03 15:00:00,Akdeniz Yem A.Ş.,1884.0,1884,1884,Trend 19,460,866640,155995.19999999998,1022635.2,2022-01-03 15:00:00,2022-01-03 15:00:00,2022-01-09 15:00:00,2022-01-14 15:00:00,5,0,Sevkiyat-Ekrem
2022-01-03 16:00:00,Doğu Anadolu Yem A.Ş.,909.0,909,909,20 X,420,381780,68720.4,450500.4,2022-01-03 16:00:00,2022-01-03 16:00:00,2022-01-06 16:00:00,2022-01-17 16:00:00,11,0,Sevkiyat-Onur
2022-01-03 17:00:00,İç Anadolu Yem A.Ş.,1803.0,1803,1803,Besi Bitirme,430,775290,139552.19999999998,914842.2,2022-01-03 17:00:00,2022-01-03 17:00:00,2022-01-07 17:00:00,2022-01-11 17:00:00,4,0,Sevkiyat-Davut
2022-01-03 18:00:00,Ege Yem A.Ş.,975.0,975,975,Kuzu Büyütme,520,507000,91260.0,598260.0,2022-01-03 18:00:00,2022-01-03 18:00:00,2022-01-08 18:00:00,2022-01-14 18:00:00,6,0,Sevkiyat-Mehmet
2022-01-03 20:00:00,Ege Yem A.Ş.,804.0,804,804,Koyun Süt,440,353760,63676.799999999996,417436.8,2022-01-03 20:00:00,2022-01-03 20:00:00,2022-01-07 20:00:00,2022-01-28 20:00:00,21,0,Sevkiyat-Bekir
2022-01-03 21:00:00,Ege Yem A.Ş.,869.0,869,869,Trend 21,410,356290,64132.2,420422.2,2022-01-03 21:00:00,2022-01-03 21:00:00,2022-01-07 21:00:00,2022-01-09 21:00:00,2,0,Sevkiyat-Davut
2022-01-03 22:00:00,Akdeniz Yem A.Ş.,1721.0,1721,1721,Koyun Süt,440,757240,136303.19999999998,893543.2,2022-01-03 22:00:00,2022-01-03 22:00:00,2022-01-09 22:00:00,2022-01-12 22:00:00,3,0,Sevkiyat-Davut
2022-01-03 23:00:00,Güney Anadolu Yem A.Ş.,1968.0,1968,1968,Trend Besi,545,1072560,193060.8,1265620.8,2022-01-03 23:00:00,2022-01-03 23:00:00,2022-01-06 23:00:00,2022-01-08 23:00:00,2,0,Sevkiyat-Onur
2022-01-04 01:00:00,Akdeniz Yem A.Ş.,1288.0,1288,1288,Trend 21,410,528080,95054.4,623134.4,2022-01-04 01:00:00,2022-01-04 01:00:00,2022-01-07 01:00:00,2022-01-12 01:00:00,5,0,Sevkiyat-Onur
2022-01-04 02:00:00,Güney Anadolu Yem A.Ş.,1926.0,1926,1926,Trend XS,395,760770,136938.6,897708.6,2022-01-04 02:00:00,2022-01-04 02:00:00,2022-01-10 02:00:00,2022-02-08 02:00:00,29,0,Sevkiyat-Onur
2022-01-04 03:00:00,Güney Anadolu Yem A.Ş.,552.0,552,552,Kuzu Besi ,460,253920,45705.6,299625.6,2022-01-04 03:00:00,2022-01-04 03:00:00,2022-01-09 03:00:00,2022-01-28 03:00:00,19,0,Sevkiyat-Ekrem
2022-01-04 04:00:00,Marmara Yem A.Ş.,903.0,903,903,Trend X,410,370230,66641.4,436871.4,2022-01-04 04:00:00,2022-01-04 04:00:00,2022-01-07 04:00:00,2022-01-28 04:00:00,21,0,Sevkiyat-Bekir
2022-01-04 05:00:00,İç Anadolu Yem A.Ş.,1267.0,1267,1267,Besi Bitirme,430,544810,98065.8,642875.8,2022-01-04 05:00:00,2022-01-04 05:00:00,2022-01-07 05:00:00,2022-01-18 05:00:00,11,0,Sevkiyat-Bekir
2022-01-04 06:00:00,Güney Anadolu Yem A.Ş.,1401.0,1401,1401,Atax 18,495,693495,124829.09999999999,818324.1,2022-01-04 06:00:00,2022-01-04 06:00:00,2022-01-07 06:00:00,2022-01-09 06:00:00,2,0,Sevkiyat-Ekrem
2022-01-04 07:00:00,Marmara Yem A.Ş.,569.0,569,569,Trend 21,410,233290,41992.2,275282.2,2022-01-04 07:00:00,2022-01-04 07:00:00,2022-01-08 07:00:00,2022-02-02 07:00:00,25,0,Sevkiyat-Davut
2022-01-04 08:00:00,Akdeniz Yem A.Ş.,764.0,764,764,A Besi,515,393460,70822.8,464282.8,2022-01-04 08:00:00,2022-01-04 08:00:00,2022-01-10 08:00:00,2022-02-06 08:00:00,27,0,Sevkiyat-Onur
2022-01-04 09:00:00,Güney Anadolu Yem A.Ş.,1604.0,1604,1604,Buzağı Başlangıç,430,689720,124149.59999999999,813869.6,2022-01-04 09:00:00,2022-01-04 09:00:00,2022-01-07 09:00:00,2022-01-28 09:00:00,21,0,Sevkiyat-Ekrem
2022-01-04 10:00:00,Ege Yem A.Ş.,90.0,90,90,21 XS,450,40500,7290.0,47790.0,2022-01-04 10:00:00,2022-01-04 10:00:00,2022-01-08 10:00:00,2022-01-29 10:00:00,21,0,Sevkiyat-Davut
2022-01-04 11:00:00,Doğu Anadolu Yem A.Ş.,1596.0,1596,1596,Atax 16,480,766080,137894.4,903974.4,2022-01-04 11:00:00,2022-01-04 11:00:00,2022-01-09 11:00:00,2022-02-02 11:00:00,24,0,Sevkiyat-Mehmet
2022-01-04 13:00:00,Marmara Yem A.Ş.,398.0,398,398,Buzağı Büyütme,380,151240,27223.2,178463.2,2022-01-04 13:00:00,2022-01-04 13:00:00,2022-01-08 13:00:00,2022-02-02 13:00:00,25,0,Sevkiyat-Bekir
2022-01-04 14:00:00,Karadeniz Yem A.Ş.,803.0,803,803,Kuzu Besi ,460,369380,66488.4,435868.4,2022-01-04 14:00:00,2022-01-04 14:00:00,2022-01-07 14:00:00,2022-01-08 14:00:00,1,0,Sevkiyat-Bekir
2022-01-04 15:00:00,Doğu Anadolu Yem A.Ş.,1292.0,1292,1292,Trend 19,460,594320,106977.59999999999,701297.6,2022-01-04 15:00:00,2022-01-04 15:00:00,2022-01-08 15:00:00,2022-02-02 15:00:00,25,0,Sevkiyat-Onur
2022-01-04 16:00:00,Güney Anadolu Yem A.Ş.,1605.0,1605,1605,20 A,395,633975,114115.5,748090.5,2022-01-04 16:00:00,2022-01-04 16:00:00,2022-01-09 16:00:00,2022-01-21 16:00:00,12,0,Sevkiyat-Onur
2022-01-04 17:00:00,Karadeniz Yem A.Ş.,1656.0,1656,1656,Koyun Süt,440,728640,131155.19999999998,859795.2,2022-01-04 17:00:00,2022-01-04 17:00:00,2022-01-10 17:00:00,2022-02-07 17:00:00,28,0,Sevkiyat-Onur
2022-01-04 18:00:00,Ege Yem A.Ş.,286.0,286,286,GRN Yonca Süt,520,148720,26769.6,175489.6,2022-01-04 18:00:00,2022-01-04 18:00:00,2022-01-08 18:00:00,2022-01-09 18:00:00,1,0,Sevkiyat-Davut
2022-01-04 19:00:00,Güney Anadolu Yem A.Ş.,1393.0,1393,1393,Trend X,410,571130,102803.4,673933.4,2022-01-04 19:00:00,2022-01-04 19:00:00,2022-01-07 19:00:00,2022-01-19 19:00:00,12,0,Sevkiyat-Davut
2022-01-04 20:00:00,Güney Anadolu Yem A.Ş.,932.0,932,932,Trend X,410,382120,68781.59999999999,450901.6,2022-01-04 20:00:00,2022-01-04 20:00:00,2022-01-07 20:00:00,2022-01-19 20:00:00,12,0,Sevkiyat-Mehmet
2022-01-04 22:00:00,Karadeniz Yem A.Ş.,561.0,561,561,21 X,530,297330,53519.4,350849.4,2022-01-04 22:00:00,2022-01-04 22:00:00,2022-01-07 22:00:00,2022-01-30 22:00:00,23,0,Sevkiyat-Ekrem
2022-01-04 23:00:00,Doğu Anadolu Yem A.Ş.,1020.0,1020,1020,21 X,530,540600,97308.0,637908.0,2022-01-04 23:00:00,2022-01-04 23:00:00,2022-01-10 23:00:00,2022-02-07 23:00:00,28,0,Sevkiyat-Davut
2022-01-05 00:00:00,İç Anadolu Yem A.Ş.,477.0,477,477,Yonca Besi,560,267120,48081.6,315201.6,2022-01-05 00:00:00,2022-01-05 00:00:00,2022-01-10 00:00:00,2022-01-29 00:00:00,19,0,Sevkiyat-Bekir
2022-01-05 01:00:00,Marmara Yem A.Ş.,1058.0,1058,1058,21 XS,450,476100,85698.0,561798.0,2022-01-05 01:00:00,2022-01-05 01:00:00,2022-01-10 01:00:00,2022-01-23 01:00:00,13,0,Sevkiyat-Ekrem
2022-01-05 02:00:00,Karadeniz Yem A.Ş.,793.0,793,793,21 X,530,420290,75652.2,495942.2,2022-01-05 02:00:00,2022-01-05 02:00:00,2022-01-10 02:00:00,2022-02-01 02:00:00,22,0,Sevkiyat-Ekrem
2022-01-05 03:00:00,Karadeniz Yem A.Ş.,668.0,668,668,20 A,395,263860,47494.799999999996,311354.8,2022-01-05 03:00:00,2022-01-05 03:00:00,2022-01-11 03:00:00,2022-01-17 03:00:00,6,0,Sevkiyat-Mehmet
2022-01-05 04:00:00,İç Anadolu Yem A.Ş.,1077.0,1077,1077,20 X,420,452340,81421.2,533761.2,2022-01-05 04:00:00,2022-01-05 04:00:00,2022-01-10 04:00:00,2022-02-04 04:00:00,25,0,Sevkiyat-Onur
2022-01-05 05:00:00,Ege Yem A.Ş.,1315.0,1315,1315,Yonca Besi,560,736400,132552.0,868952.0,2022-01-05 05:00:00,2022-01-05 05:00:00,2022-01-08 05:00:00,2022-01-28 05:00:00,20,0,Sevkiyat-Ekrem
2022-01-05 06:00:00,Akdeniz Yem A.Ş.,205.0,205,205,Kuzu Büyütme,520,106600,19188.0,125788.0,2022-01-05 06:00:00,2022-01-05 06:00:00,2022-01-09 06:00:00,2022-01-31 06:00:00,22,0,Sevkiyat-Davut
2022-01-05 07:00:00,Doğu Anadolu Yem A.Ş.,334.0,334,334,Kuzu Besi ,460,153640,27655.2,181295.2,2022-01-05 07:00:00,2022-01-05 07:00:00,2022-01-08 07:00:00,2022-02-02 07:00:00,25,0,Sevkiyat-Ekrem
2022-01-05 08:00:00,Marmara Yem A.Ş.,931.0,931,931,Trend 21,410,381710,68707.8,450417.8,2022-01-05 08:00:00,2022-01-05 08:00:00,2022-01-08 08:00:00,2022-01-24 08:00:00,16,0,Sevkiyat-Davut
2022-01-05 09:00:00,Güney Anadolu Yem A.Ş.,1461.0,1461,1461,Toklu Besi,545,796245,143324.1,939569.1,2022-01-05 09:00:00,2022-01-05 09:00:00,2022-01-08 09:00:00,2022-01-31 09:00:00,23,0,Sevkiyat-Mehmet
2022-01-05 10:00:00,İç Anadolu Yem A.Ş.,1265.0,1265,1265,GRN Yonca Süt,520,657800,118404.0,776204.0,2022-01-05 10:00:00,2022-01-05 10:00:00,2022-01-08 10:00:00,2022-01-17 10:00:00,9,0,Sevkiyat-Mehmet
2022-01-05 11:00:00,Akdeniz Yem A.Ş.,1999.0,1999,1999,GRN Yonca Süt,520,1039480,187106.4,1226586.4,2022-01-05 11:00:00,2022-01-05 11:00:00,2022-01-10 11:00:00,2022-02-02 11:00:00,23,0,Sevkiyat-Bekir
2022-01-05 12:00:00,Akdeniz Yem A.Ş.,1785.0,1785,1785,Atax 18,495,883575,159043.5,1042618.5,2022-01-05 12:00:00,2022-01-05 12:00:00,2022-01-09 12:00:00,2022-01-15 12:00:00,6,0,Sevkiyat-Bekir
2022-01-05 13:00:00,Ege Yem A.Ş.,1571.0,1571,1571,Besi 18 Geliştirme,550,864050,155529.0,1019579.0,2022-01-05 13:00:00,2022-01-05 13:00:00,2022-01-10 13:00:00,2022-01-23 13:00:00,13,0,Sevkiyat-Ekrem
2022-01-05 14:00:00,Marmara Yem A.Ş.,599.0,599,599,20 A,395,236605,42588.9,279193.9,2022-01-05 14:00:00,2022-01-05 14:00:00,2022-01-10 14:00:00,2022-02-02 14:00:00,23,0,Sevkiyat-Davut
2022-01-05 15:00:00,İç Anadolu Yem A.Ş.,1871.0,1871,1871,Toklu Besi,545,1019695,183545.1,1203240.1,2022-01-05 15:00:00,2022-01-05 15:00:00,2022-01-10 15:00:00,2022-01-27 15:00:00,17,0,Sevkiyat-Ekrem
2022-01-05 17:00:00,Marmara Yem A.Ş.,338.0,338,338,Besi 18 Geliştirme,550,185900,33462.0,219362.0,2022-01-05 17:00:00,2022-01-05 17:00:00,2022-01-08 17:00:00,2022-01-30 17:00:00,22,0,Sevkiyat-Mehmet
2022-01-05 18:00:00,İç Anadolu Yem A.Ş.,1957.0,1957,1957,Buzağı Başlangıç,430,841510,151471.8,992981.8,2022-01-05 18:00:00,2022-01-05 18:00:00,2022-01-11 18:00:00,2022-01-28 18:00:00,17,0,Sevkiyat-Onur
2022-01-05 19:00:00,Marmara Yem A.Ş.,660.0,660,660,A Besi,515,339900,61182.0,401082.0,2022-01-05 19:00:00,2022-01-05 19:00:00,2022-01-09 19:00:00,2022-01-21 19:00:00,12,0,Sevkiyat-Davut
2022-01-05 20:00:00,Marmara Yem A.Ş.,755.0,755,755,20 X,420,317100,57078.0,374178.0,2022-01-05 20:00:00,2022-01-05 20:00:00,2022-01-10 20:00:00,2022-02-06 20:00:00,27,0,Sevkiyat-Mehmet
2022-01-05 21:00:00,Güney Anadolu Yem A.Ş.,1342.0,1342,1342,Kuzu Büyütme,520,697840,125611.2,823451.2,2022-01-05 21:00:00,2022-01-05 21:00:00,2022-01-08 21:00:00,2022-01-12 21:00:00,4,0,Sevkiyat-Mehmet
2022-01-05 22:00:00,Doğu Anadolu Yem A.Ş.,489.0,489,489,Kuzu Büyütme,520,254280,45770.4,300050.4,2022-01-05 22:00:00,2022-01-05 22:00:00,2022-01-08 22:00:00,2022-01-22 22:00:00,14,0,Sevkiyat-Davut
2022-01-05 23:00:00,Karadeniz Yem A.Ş.,380.0,380,380,21 XS,450,171000,30780.0,201780.0,2022-01-05 23:00:00,2022-01-05 23:00:00,2022-01-11 23:00:00,2022-01-23 23:00:00,12,0,Sevkiyat-Davut
2022-01-06 00:00:00,Doğu Anadolu Yem A.Ş.,448.0,448,448,Koyun Süt,440,197120,35481.6,232601.6,2022-01-06 00:00:00,2022-01-06 00:00:00,2022-01-12 00:00:00,2022-01-19 00:00:00,7,0,Sevkiyat-Ekrem
2022-01-06 01:00:00,Güney Anadolu Yem A.Ş.,136.0,136,136,20 A,395,53720,9669.6,63389.6,2022-01-06 01:00:00,2022-01-06 01:00:00,2022-01-09 01:00:00,2022-01-26 01:00:00,17,0,Sevkiyat-Onur
2022-01-06 02:00:00,Karadeniz Yem A.Ş.,1641.0,1641,1641,GRN Yonca Süt,520,853320,153597.6,1006917.6,2022-01-06 02:00:00,2022-01-06 02:00:00,2022-01-11 02:00:00,2022-02-03 02:00:00,23,0,Sevkiyat-Mehmet
2022-01-06 03:00:00,Akdeniz Yem A.Ş.,1156.0,1156,1156,Buzağı Başlangıç,430,497080,89474.4,586554.4,2022-01-06 03:00:00,2022-01-06 03:00:00,2022-01-11 03:00:00,2022-02-07 03:00:00,27,0,Sevkiyat-Davut
2022-01-06 05:00:00,İç Anadolu Yem A.Ş.,467.0,467,467,21 X,530,247510,44551.799999999996,292061.8,2022-01-06 05:00:00,2022-01-06 05:00:00,2022-01-12 05:00:00,2022-01-15 05:00:00,3,0,Sevkiyat-Davut
2022-01-06 06:00:00,İç Anadolu Yem A.Ş.,1799.0,1799,1799,Trend 19,460,827540,148957.19999999998,976497.2,2022-01-06 06:00:00,2022-01-06 06:00:00,2022-01-09 06:00:00,2022-01-16 06:00:00,7,0,Sevkiyat-Bekir
