,Ham madde tedarikçileri,Sipariş Miktarı,İrsaliye Miktarı,Fatura Miktarı,Ham madde ürün adı,Br. Fiyat,Alt Toplam,KDV,Genel Toplam,Sipariş Tarihi,İstenen Teslim Tarihi,Gerçekleşen Teslim Tarihi,En Son İrsaliye Tarihi,Sevk Performansı (Gün),Zamanında,Sipariş Açan
2022-01-02 00:00:00,Ruşeym Hammadde Tic. A.Ş.,178.0,178,178,Mermer tozu,150,26700,4806.0,31506.0,2022-01-02 00:00:00,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-05 00:00:00,0,0,Satınalma -Süreyya
2022-01-02 01:00:00,Ruşeym Hammadde Tic. A.Ş.,124.0,124,124,Arpa,7500,930000,167400.0,1097400.0,2022-01-02 01:00:00,2022-01-04 01:00:00,2022-01-08 01:00:00,2022-01-08 01:00:00,0,0,Satınalma-Seyfettin
2022-01-02 02:00:00,Asrın Hammadde Tic. A.Ş.,14.0,14,14,Vanilya aroması,380.0,5320.0,957.5999999999999,6277.6,2022-01-02 02:00:00,2022-01-04 02:00:00,2022-01-07 02:00:00,2022-01-07 02:00:00,0,0,Satınalma-Seyfettin
2022-01-02 03:00:00,Mersinli Hammadde Tic. A.Ş.,116.0,116,116,Buğday,9250,1073000,193140.0,1266140.0,2022-01-02 03:00:00,2022-01-04 03:00:00,2022-01-06 03:00:00,2022-01-06 03:00:00,0,0,Satınalma-Tahir
2022-01-02 04:00:00,Nevşehir Hammadde Tic. A.Ş.,133.0,133,133,Fındık küspesi,4300,571900,102942.0,674842.0,2022-01-02 04:00:00,2022-01-05 04:00:00,2022-01-06 04:00:00,2022-01-06 04:00:00,0,0,Satınalma-Seyfettin
2022-01-02 05:00:00,Asrın Hammadde Tic. A.Ş.,43.0,43,43,ATK (%26-28),180,7740,1393.2,9133.2,2022-01-02 05:00:00,2022-01-04 05:00:00,2022-01-06 05:00:00,2022-01-06 05:00:00,0,0,Satınalma-Tahir
2022-01-02 07:00:00,Dünya Hammadde Tic. A.Ş.,65.0,65,65,Arpa,7500,487500,87750.0,575250.0,2022-01-02 07:00:00,2022-01-05 07:00:00,2022-01-07 07:00:00,2022-01-07 07:00:00,0,0,Satınalma-Kasım
2022-01-02 09:00:00,Salihli Hammadde Tic. A.Ş.,6.0,6,6,Amonyum klorür,890.0,5340.0,961.1999999999999,6301.2,2022-01-02 09:00:00,2022-01-05 09:00:00,2022-01-05 09:00:00,2022-01-05 09:00:00,0,0,Satınalma-Sıddık
2022-01-02 10:00:00,Uğrakdere Hammadde Tic. A.Ş.,4.0,4,4,Vanilya aroması,380.0,1520.0,273.59999999999997,1793.6,2022-01-02 10:00:00,2022-01-05 10:00:00,2022-01-06 10:00:00,2022-01-06 10:00:00,0,0,Satınalma-Sıddık
2022-01-02 11:00:00,Ceyhan Hammadde Tic. A.Ş.,4.0,4,4,Natmin,250.0,1000.0,180.0,1180.0,2022-01-02 11:00:00,2022-01-04 11:00:00,2022-01-08 11:00:00,2022-01-08 11:00:00,0,0,Satınalma-Seyfettin
2022-01-02 12:00:00,Hasankaya Hammadde Tic. A.Ş.,5.0,5,5,Amonyum klorür,890.0,4450.0,801.0,5251.0,2022-01-02 12:00:00,2022-01-05 12:00:00,2022-01-05 12:00:00,2022-01-05 12:00:00,0,0,Satınalma-Seyfettin
2022-01-02 13:00:00,Tahsinli Hammadde Tic. A.Ş.,66.0,66,66,Melas,3800,250800,45144.0,295944.0,2022-01-02 13:00:00,2022-01-05 13:00:00,2022-01-06 13:00:00,2022-01-06 13:00:00,0,0,Satınalma-Tahir
2022-01-02 14:00:00,Uğrakdere Hammadde Tic. A.Ş.,89.0,89,89,Razmol,1100,97900,17622.0,115522.0,2022-01-02 14:00:00,2022-01-04 14:00:00,2022-01-06 14:00:00,2022-01-06 14:00:00,0,0,Satınalma-Seyfettin
2022-01-02 15:00:00,Ceyhan Hammadde Tic. A.Ş.,73.0,73,73,Buğday,9250,675250,121545.0,796795.0,2022-01-02 15:00:00,2022-01-04 15:00:00,2022-01-04 15:00:00,2022-01-04 15:00:00,0,0,Satınalma-Seyfettin
2022-01-02 16:00:00,Ruşeym Hammadde Tic. A.Ş.,52.0,52,52,VPC,1450,75400,13572.0,88972.0,2022-01-02 16:00:00,2022-01-05 16:00:00,2022-01-08 16:00:00,2022-01-08 16:00:00,0,0,Satınalma-Sıddık
2022-01-02 17:00:00,Uğrakdere Hammadde Tic. A.Ş.,6.0,6,6,İthal kepek,270.0,1620.0,291.59999999999997,1911.6,2022-01-02 17:00:00,2022-01-04 17:00:00,2022-01-07 17:00:00,2022-01-07 17:00:00,0,0,Satınalma-Tahir
2022-01-02 18:00:00,Iğdır Hammadde Tic. A.Ş.,83.0,83,83,Kepek,3000,249000,44820.0,293820.0,2022-01-02 18:00:00,2022-01-05 18:00:00,2022-01-07 18:00:00,2022-01-07 18:00:00,0,0,Satınalma-Tahir
2022-01-02 19:00:00,Mersinli Hammadde Tic. A.Ş.,115.0,115,115,Bisküvit,950,109250,19665.0,128915.0,2022-01-02 19:00:00,2022-01-04 19:00:00,2022-01-05 19:00:00,2022-01-05 19:00:00,0,0,Satınalma-Sıddık
2022-01-02 20:00:00,LDK Hammadde Tic. A.Ş.,15.0,15,15,Organik selenyum,925.0,13875.0,2497.5,16372.5,2022-01-02 20:00:00,2022-01-04 20:00:00,2022-01-06 20:00:00,2022-01-06 20:00:00,0,0,Satınalma -Süreyya
2022-01-02 21:00:00,Şamıtlı Hammadde Tic. A.Ş.,116.0,116,116,Melas,3800,440800,79344.0,520144.0,2022-01-02 21:00:00,2022-01-04 21:00:00,2022-01-08 21:00:00,2022-01-08 21:00:00,0,0,Satınalma-Tahir
2022-01-02 22:00:00,Tahsinli Hammadde Tic. A.Ş.,101.0,101,101,Kepek,3000,303000,54540.0,357540.0,2022-01-02 22:00:00,2022-01-04 22:00:00,2022-01-07 22:00:00,2022-01-07 22:00:00,0,0,Satınalma-Tahir
2022-01-02 23:00:00,Asrın Hammadde Tic. A.Ş.,13.0,13,13,Vanilya aroması,380.0,4940.0,889.1999999999999,5829.2,2022-01-02 23:00:00,2022-01-05 23:00:00,2022-01-07 23:00:00,2022-01-07 23:00:00,0,0,Satınalma-Tahir
2022-01-03 00:00:00,Buhara Hammadde Tic. A.Ş.,98.0,98,98,Mısır,6000,588000,105840.0,693840.0,2022-01-03 00:00:00,2022-01-05 00:00:00,2022-01-09 00:00:00,2022-01-09 00:00:00,0,0,Satınalma-Seyfettin
2022-01-03 01:00:00,Asrın Hammadde Tic. A.Ş.,35.0,35,35,Fındık küspesi,4300,150500,27090.0,177590.0,2022-01-03 01:00:00,2022-01-06 01:00:00,2022-01-09 01:00:00,2022-01-09 01:00:00,0,0,Satınalma-Tahir
2022-01-03 02:00:00,Nevşehir Hammadde Tic. A.Ş.,192.0,192,192,Melas,3800,729600,131328.0,860928.0,2022-01-03 02:00:00,2022-01-06 02:00:00,2022-01-10 02:00:00,2022-01-10 02:00:00,0,1,Satınalma-Kasım
2022-01-03 03:00:00,Ceyhan Hammadde Tic. A.Ş.,15.0,15,15,Organik selenyum,925.0,13875.0,2497.5,16372.5,2022-01-03 03:00:00,2022-01-05 03:00:00,2022-01-06 03:00:00,2022-01-06 03:00:00,0,0,Satınalma-Sıddık
2022-01-03 04:00:00,Uğrakdere Hammadde Tic. A.Ş.,193.0,193,193,ATK (%26-28),180,34740,6253.2,40993.2,2022-01-03 04:00:00,2022-01-06 04:00:00,2022-01-09 04:00:00,2022-01-09 04:00:00,0,0,Satınalma-Seyfettin
2022-01-03 05:00:00,Karadere Hammadde Tic. A.Ş.,79.0,79,79,VPC,1450,114550,20619.0,135169.0,2022-01-03 05:00:00,2022-01-06 05:00:00,2022-01-07 05:00:00,2022-01-07 05:00:00,0,0,Satınalma-Kasım
2022-01-03 06:00:00,Uğrakdere Hammadde Tic. A.Ş.,75.0,75,75,Kepek,3000,225000,40500.0,265500.0,2022-01-03 06:00:00,2022-01-06 06:00:00,2022-01-07 06:00:00,2022-01-07 06:00:00,0,0,Satınalma-Sıddık
2022-01-03 08:00:00,Uğrakdere Hammadde Tic. A.Ş.,137.0,137,137,Mermer tozu,150,20550,3699.0,24249.0,2022-01-03 08:00:00,2022-01-05 08:00:00,2022-01-06 08:00:00,2022-01-06 08:00:00,0,0,Satınalma -Süreyya
2022-01-03 09:00:00,Formül Hammadde Tic. A.Ş.,39.0,39,39,Fındık küspesi,4300,167700,30186.0,197886.0,2022-01-03 09:00:00,2022-01-06 09:00:00,2022-01-10 09:00:00,2022-01-10 09:00:00,0,0,Satınalma-Kasım
2022-01-03 11:00:00,Nevşehir Hammadde Tic. A.Ş.,7.0,7,7,Tuz,150.0,1050.0,189.0,1239.0,2022-01-03 11:00:00,2022-01-05 11:00:00,2022-01-07 11:00:00,2022-01-07 11:00:00,0,0,Satınalma-Seyfettin
2022-01-03 12:00:00,Salihli Hammadde Tic. A.Ş.,13.0,13,13,Natmin,250.0,3250.0,585.0,3835.0,2022-01-03 12:00:00,2022-01-05 12:00:00,2022-01-05 12:00:00,2022-01-05 12:00:00,0,0,Satınalma-Seyfettin
2022-01-03 13:00:00,Ceyhan Hammadde Tic. A.Ş.,10.0,10,10,Amonyum klorür,890.0,8900.0,1602.0,10502.0,2022-01-03 13:00:00,2022-01-06 13:00:00,2022-01-07 13:00:00,2022-01-07 13:00:00,0,0,Satınalma -Süreyya
2022-01-03 14:00:00,Mersinli Hammadde Tic. A.Ş.,9.0,9,9,İthal kepek,270.0,2430.0,437.4,2867.4,2022-01-03 14:00:00,2022-01-05 14:00:00,2022-01-05 14:00:00,2022-01-05 14:00:00,0,0,Satınalma-Sıddık
2022-01-03 15:00:00,Ceyhan Hammadde Tic. A.Ş.,87.0,87,87,Razmol,1100,95700,17226.0,112926.0,2022-01-03 15:00:00,2022-01-05 15:00:00,2022-01-09 15:00:00,2022-01-09 15:00:00,0,0,Satınalma-Tahir
2022-01-03 16:00:00,Iğdır Hammadde Tic. A.Ş.,37.0,37,37,Razmol,1100,40700,7326.0,48026.0,2022-01-03 16:00:00,2022-01-06 16:00:00,2022-01-08 16:00:00,2022-01-08 16:00:00,0,0,Satınalma-Seyfettin
2022-01-03 17:00:00,Buhara Hammadde Tic. A.Ş.,10.0,10,10,Sodyum bikarbonat,530.0,5300.0,954.0,6254.0,2022-01-03 17:00:00,2022-01-05 17:00:00,2022-01-05 17:00:00,2022-01-05 17:00:00,0,0,Satınalma -Süreyya
2022-01-03 18:00:00,Karadere Hammadde Tic. A.Ş.,66.0,66,66,Mısır,6000,396000,71280.0,467280.0,2022-01-03 18:00:00,2022-01-06 18:00:00,2022-01-06 18:00:00,2022-01-06 18:00:00,0,0,Satınalma-Kasım
2022-01-03 19:00:00,Dünya Hammadde Tic. A.Ş.,4.0,4,4,Natmin,250.0,1000.0,180.0,1180.0,2022-01-03 19:00:00,2022-01-05 19:00:00,2022-01-09 19:00:00,2022-01-09 19:00:00,0,0,Satınalma-Sıddık
2022-01-03 20:00:00,Iğdır Hammadde Tic. A.Ş.,17.0,17,17,Organik selenyum,925.0,15725.0,2830.5,18555.5,2022-01-03 20:00:00,2022-01-06 20:00:00,2022-01-08 20:00:00,2022-01-08 20:00:00,0,0,Satınalma-Kasım
2022-01-03 21:00:00,Tahsinli Hammadde Tic. A.Ş.,4.0,4,4,Organik selenyum,925.0,3700.0,666.0,4366.0,2022-01-03 21:00:00,2022-01-05 21:00:00,2022-01-08 21:00:00,2022-01-08 21:00:00,0,0,Satınalma-Sıddık
2022-01-03 22:00:00,Dünya Hammadde Tic. A.Ş.,133.0,133,133,Bisküvit,950,126350,22743.0,149093.0,2022-01-03 22:00:00,2022-01-06 22:00:00,2022-01-10 22:00:00,2022-01-10 22:00:00,0,0,Satınalma-Tahir
2022-01-03 23:00:00,Edirne Hammadde Tic. A.Ş.,7.0,7,7,Vanilya aroması,380.0,2660.0,478.79999999999995,3138.8,2022-01-03 23:00:00,2022-01-06 23:00:00,2022-01-10 23:00:00,2022-01-10 23:00:00,0,0,Satınalma-Tahir
2022-01-04 00:00:00,Karadere Hammadde Tic. A.Ş.,63.0,63,63,Bisküvit,950,59850,10773.0,70623.0,2022-01-04 00:00:00,2022-01-07 00:00:00,2022-01-11 00:00:00,2022-01-11 00:00:00,0,0,Satınalma-Tahir
2022-01-04 01:00:00,Özeniş Hammadde Tic. A.Ş.,6.0,6,6,Vanilya aroması,380.0,2280.0,410.4,2690.4,2022-01-04 01:00:00,2022-01-06 01:00:00,2022-01-06 01:00:00,2022-01-06 01:00:00,0,0,Satınalma-Tahir
2022-01-04 02:00:00,Şamıtlı Hammadde Tic. A.Ş.,127.0,127,127,Fındık küspesi,4300,546100,98298.0,644398.0,2022-01-04 02:00:00,2022-01-06 02:00:00,2022-01-10 02:00:00,2022-01-10 02:00:00,0,0,Satınalma-Kasım
2022-01-04 03:00:00,Hasankaya Hammadde Tic. A.Ş.,106.0,106,106,ATK (%30-32),160,16960,3052.7999999999997,20012.8,2022-01-04 03:00:00,2022-01-06 03:00:00,2022-01-07 03:00:00,2022-01-07 03:00:00,1,0,Satınalma-Tahir
2022-01-04 04:00:00,Şamıtlı Hammadde Tic. A.Ş.,29.0,29,29,VPC,1450,42050,7569.0,49619.0,2022-01-04 04:00:00,2022-01-07 04:00:00,2022-01-11 04:00:00,2022-01-11 04:00:00,0,0,Satınalma-Kasım
2022-01-04 05:00:00,Ruşeym Hammadde Tic. A.Ş.,5.0,5,5,Vanilya aroması,380.0,1900.0,342.0,2242.0,2022-01-04 05:00:00,2022-01-07 05:00:00,2022-01-10 05:00:00,2022-01-10 05:00:00,0,0,Satınalma-Seyfettin
2022-01-04 06:00:00,LDK Hammadde Tic. A.Ş.,123.0,123,123,ATK (%30-32),160,19680,3542.4,23222.4,2022-01-04 06:00:00,2022-01-07 06:00:00,2022-01-09 06:00:00,2022-01-09 06:00:00,0,0,Satınalma-Sıddık
2022-01-04 07:00:00,Ruşeym Hammadde Tic. A.Ş.,7.0,7,7,Vanilya aroması,380.0,2660.0,478.79999999999995,3138.8,2022-01-04 07:00:00,2022-01-06 07:00:00,2022-01-10 07:00:00,2022-01-10 07:00:00,0,0,Satınalma-Kasım
2022-01-04 08:00:00,Hasankaya Hammadde Tic. A.Ş.,101.0,101,101,ATK (%30-32),160,16160,2908.7999999999997,19068.8,2022-01-04 08:00:00,2022-01-07 08:00:00,2022-01-10 08:00:00,2022-01-10 08:00:00,0,0,Satınalma-Tahir
2022-01-04 09:00:00,Uğrakdere Hammadde Tic. A.Ş.,6.0,6,6,Natmin,250.0,1500.0,270.0,1770.0,2022-01-04 09:00:00,2022-01-06 09:00:00,2022-01-08 09:00:00,2022-01-08 09:00:00,0,0,Satınalma-Sıddık
2022-01-04 10:00:00,Uğrakdere Hammadde Tic. A.Ş.,113.0,113,113,Masarasyon suyu,860,97180,17492.399999999998,114672.4,2022-01-04 10:00:00,2022-01-07 10:00:00,2022-01-07 10:00:00,2022-01-07 10:00:00,0,0,Satınalma -Süreyya
2022-01-04 11:00:00,Ruşeym Hammadde Tic. A.Ş.,28.0,28,28,VPC,1450,40600,7308.0,47908.0,2022-01-04 11:00:00,2022-01-06 11:00:00,2022-01-07 11:00:00,2022-01-07 11:00:00,0,0,Satınalma-Sıddık
2022-01-04 12:00:00,Mersinli Hammadde Tic. A.Ş.,137.0,137,137,Buğday,9250,1267250,228105.0,1495355.0,2022-01-04 12:00:00,2022-01-07 12:00:00,2022-01-09 12:00:00,2022-01-09 12:00:00,0,0,Satınalma-Sıddık
2022-01-04 13:00:00,Nevşehir Hammadde Tic. A.Ş.,9.0,9,9,Natmin,250.0,2250.0,405.0,2655.0,2022-01-04 13:00:00,2022-01-06 13:00:00,2022-01-09 13:00:00,2022-01-09 13:00:00,0,0,Satınalma-Kasım
2022-01-04 14:00:00,Asrın Hammadde Tic. A.Ş.,144.0,144,144,ATK (%26-28),180,25920,4665.599999999999,30585.6,2022-01-04 14:00:00,2022-01-06 14:00:00,2022-01-06 14:00:00,2022-01-06 14:00:00,0,0,Satınalma -Süreyya
2022-01-04 15:00:00,Buhara Hammadde Tic. A.Ş.,8.0,8,8,Natmin,250.0,2000.0,360.0,2360.0,2022-01-04 15:00:00,2022-01-07 15:00:00,2022-01-09 15:00:00,2022-01-09 15:00:00,0,0,Satınalma-Tahir
2022-01-04 17:00:00,Uğrakdere Hammadde Tic. A.Ş.,15.0,15,15,Sodyum bikarbonat,530.0,7950.0,1431.0,9381.0,2022-01-04 17:00:00,2022-01-07 17:00:00,2022-01-09 17:00:00,2022-01-09 17:00:00,0,0,Satınalma-Tahir
2022-01-04 18:00:00,Ceyhan Hammadde Tic. A.Ş.,107.0,107,107,Arpa,7500,802500,144450.0,946950.0,2022-01-04 18:00:00,2022-01-06 18:00:00,2022-01-10 18:00:00,2022-01-10 18:00:00,0,0,Satınalma-Tahir
2022-01-04 19:00:00,Özeniş Hammadde Tic. A.Ş.,74.0,74,74,Kepek,3000,222000,39960.0,261960.0,2022-01-04 19:00:00,2022-01-06 19:00:00,2022-01-06 19:00:00,2022-01-06 19:00:00,0,0,Satınalma -Süreyya
2022-01-04 20:00:00,Uğrakdere Hammadde Tic. A.Ş.,117.0,117,117,Bisküvit,950,111150,20007.0,131157.0,2022-01-04 20:00:00,2022-01-07 20:00:00,2022-01-09 20:00:00,2022-01-09 20:00:00,0,0,Satınalma-Tahir
2022-01-04 21:00:00,Özeniş Hammadde Tic. A.Ş.,66.0,66,66,Fındık küspesi,4300,283800,51084.0,334884.0,2022-01-04 21:00:00,2022-01-07 21:00:00,2022-01-09 21:00:00,2022-01-09 21:00:00,0,0,Satınalma-Seyfettin
2022-01-04 22:00:00,LDK Hammadde Tic. A.Ş.,183.0,183,183,ATK (%30-32),160,29280,5270.4,34550.4,2022-01-04 22:00:00,2022-01-06 22:00:00,2022-01-09 22:00:00,2022-01-09 22:00:00,0,0,Satınalma -Süreyya
2022-01-04 23:00:00,Ordulu Hammadde Tic. A.Ş.,25.0,25,25,Mermer tozu,150,3750,675.0,4425.0,2022-01-04 23:00:00,2022-01-06 23:00:00,2022-01-08 23:00:00,2022-01-08 23:00:00,0,0,Satınalma-Seyfettin
2022-01-05 00:00:00,Tahsinli Hammadde Tic. A.Ş.,167.0,167,167,Mısır,6000,1002000,180360.0,1182360.0,2022-01-05 00:00:00,2022-01-08 00:00:00,2022-01-09 00:00:00,2022-01-09 00:00:00,0,0,Satınalma-Tahir
2022-01-05 01:00:00,Asrın Hammadde Tic. A.Ş.,7.0,7,7,İthal kepek,270.0,1890.0,340.2,2230.2,2022-01-05 01:00:00,2022-01-08 01:00:00,2022-01-08 01:00:00,2022-01-08 01:00:00,0,0,Satınalma-Tahir
2022-01-05 02:00:00,Panama Hammadde Tic. A.Ş.,149.0,149,149,Ruminant besi vm,2800,417200,75096.0,492296.0,2022-01-05 02:00:00,2022-01-08 02:00:00,2022-01-10 02:00:00,2022-01-10 02:00:00,0,0,Satınalma-Sıddık
2022-01-05 03:00:00,Şamıtlı Hammadde Tic. A.Ş.,130.0,130,130,Mermer tozu,150,19500,3510.0,23010.0,2022-01-05 03:00:00,2022-01-08 03:00:00,2022-01-11 03:00:00,2022-01-11 03:00:00,0,0,Satınalma -Süreyya
2022-01-05 04:00:00,Edirne Hammadde Tic. A.Ş.,45.0,45,45,ATK (%30-32),160,7200,1296.0,8496.0,2022-01-05 04:00:00,2022-01-07 04:00:00,2022-01-10 04:00:00,2022-01-10 04:00:00,0,0,Satınalma-Tahir
2022-01-05 05:00:00,Uğrakdere Hammadde Tic. A.Ş.,69.0,69,69,Kepek,3000,207000,37260.0,244260.0,2022-01-05 05:00:00,2022-01-08 05:00:00,2022-01-11 05:00:00,2022-01-11 05:00:00,0,0,Satınalma-Seyfettin
2022-01-05 06:00:00,Mersinli Hammadde Tic. A.Ş.,193.0,193,193,Buğday,9250,1785250,321345.0,2106595.0,2022-01-05 06:00:00,2022-01-08 06:00:00,2022-01-09 06:00:00,2022-01-09 06:00:00,3,0,Satınalma-Seyfettin
2022-01-05 07:00:00,Dünya Hammadde Tic. A.Ş.,171.0,171,171,Fındık küspesi,4300,735300,132354.0,867654.0,2022-01-05 07:00:00,2022-01-07 07:00:00,2022-01-08 07:00:00,2022-01-08 07:00:00,0,0,Satınalma -Süreyya
2022-01-05 08:00:00,Iğdır Hammadde Tic. A.Ş.,69.0,69,69,Razmol,1100,75900,13662.0,89562.0,2022-01-05 08:00:00,2022-01-07 08:00:00,2022-01-07 08:00:00,2022-01-07 08:00:00,0,0,Satınalma-Tahir
2022-01-05 09:00:00,Ruşeym Hammadde Tic. A.Ş.,197.0,197,197,Ruminant besi vm,2800,551600,99288.0,650888.0,2022-01-05 09:00:00,2022-01-07 09:00:00,2022-01-09 09:00:00,2022-01-09 09:00:00,0,0,Satınalma-Seyfettin
2022-01-05 10:00:00,Özeniş Hammadde Tic. A.Ş.,6.0,6,6,Organik selenyum,925.0,5550.0,999.0,6549.0,2022-01-05 10:00:00,2022-01-08 10:00:00,2022-01-12 10:00:00,2022-01-12 10:00:00,0,0,Satınalma-Seyfettin
